article_id,annotator,node,ranges,tokens,label
5d04c473896a7fea06a0f809,C,6.0,"[[1158, 1260]]",não podemos perder de vista que o território goza de uma particularidade interessante: não vivemos sós,Policy
5cf46bc3896a7fea0600247f,A,31.0,"[[8275, 8333]]","é necessário, fundamentalmente, ir muito além das palavras",Policy
5cf465e2896a7fea06ffd558,C,19.0,"[[2388, 2514]]",esse crescimento não pode agravar a estabilização do endividamento externo que foi tão arduamente conquistada nos últimos anos,Policy
5cf461eb896a7fea06ff8d65,D,23.0,"[[4281, 4322]]","Exige-se, pois, uma explicação do Governo",Policy
5cf46271896a7fea06ff917c,C,12.0,"[[2809, 2951]]","Ouvir e envolver outras áreas, outros especialistas, vencendo os nossos próprios preconceitos e medos, deve tornar-se a regra e não a excepção",Policy
5cf45c4c896a7fea06ff3f66,C,7.0,"[[2066, 2210]]","Nesta sociedade patriarcal, é preciso garantir que o cuidador não seja subjugado ou obrigado a abdicar da sua vida em prol do bem-estar familiar",Policy
5cf46d61896a7fea0600417e,B,2.0,"[[317, 386]]","As cidades, como Lisboa, podem e devem aproveitar esta nova realidade",Policy
5cf45c4d896a7fea06ff3f74,B,25.0,"[[3729, 3824]]",a sua avaliação precisa de ser aprofundada e todos temos de ser parte da construção de soluções,Policy
5cf45e22896a7fea06ff4e2a,D,19.0,"[[6906, 7183]]","para podermos manter no futuro a competitividade internacional que nos custou tanto a atingir, é necessário investimento, público e privado, tanto nas pessoas que fazem ciência e desenvolvem tecnologia, como nas infra-estruturas que permitem fazê-lo, universidades e institutos",Policy
5cf46de3896a7fea0600458c,D,9.0,"[[1924, 2220]]",o SCTES precisa de um plano legislativo de raiz que defina as carreiras e o perfil institucional e laboral das unidades de investigação científica – sejam públicas ou privadas – elegíveis para financiamento da Fundação para a Ciência e a Tecnologia (provenha este de fundos nacionais ou europeus),Policy
5d04c473896a7fea06a0f809,C,0.0,"[[2921, 3037]]",os responsáveis políticos têm de assumir que não é possível combater a interioridade com menos Lisboa ou menos Porto,Policy
5cf45e22896a7fea06ff4e2a,C,36.0,"[[7001, 7183]]","é necessário investimento, público e privado, tanto nas pessoas que fazem ciência e desenvolvem tecnologia, como nas infra-estruturas que permitem fazê-lo, universidades e institutos",Policy
5d04c671896a7fea06a11275,D,9.0,"[[942, 1097]]","abster-se de participar em órgãos sociais do seu clube preferido, até, por respeito aos muitos cidadãos da sua cidade que se revêem noutro clube de futebol",Policy
5cf46bc3896a7fea0600247f,D,51.0,"[[7023, 7216]]","deveríamos actualizar e alargar a nossa investigação, analisando não só as várias vertentes dos descobrimentos e da colonização, como o colonialismo (conceito mais moderno) e o anticolonialismo",Policy
5cf45e6f896a7fea06ff6056,B,38.0,"[[3854, 4130]]","Portugal deve ter um papel activo no plano internacional, contribuindo empenhadamente para a construção de soluções para a eliminação dos paraísos fiscais e para o aprofundamento do combate à elisão fiscal praticada por grandes empresas, em particular, empresas multinacionais",Policy
5d04c4aa896a7fea06a0f962,C,9.0,"[[6664, 6950]]","Há que evoluir no sentido da formação de brigadas de bombeiros florestais, com funções mistas de prevenção e combate e dirigidas por técnicos com conhecimento especializado e avançado, incluindo as competências de análise de incêndios que são decisivas em ocorrências graves e complexas",Policy
5d04b991896a7fea06a049f5,B,33.0,"[[3565, 3634]]","Neste, como em tantos outros casos, exige-se uma governação integrada",Policy
5cf46146896a7fea06ff884d,B,53.0,"[[4500, 4613]]",devemos ter alguma compaixão (que é coisa que não sabem sequer o que é ou olham como coisa ‘gasta’) destes ‘eles’,Policy
5cf45bc3896a7fea06ff2b2d,D,22.0,"[[3402, 3608]]","exige-se que exista coincidência entre a defesa dos interesses colectivos do grupo ou profissão, as condições de exercício desta tanto no sector público como no privado e os interesses reguladores do Estado",Policy
5cf471bf896a7fea06008417,A,0.0,"[[4578, 4609]]",Devemos ter orgulho nessa opção,Policy
5ce43ca4896a7fea06697d6f,B,31.0,"[[3658, 3704]]",não esquecendo a proteção do mar e dos oceanos,Policy
5cf45f4e896a7fea06ff684a,C,5.0,"[[1523, 1600]]",deve ser fruto de uma particular atenção a área de pinheiro bravo em Portugal,Policy
5cf46fb5896a7fea06006266,D,37.0,"[[7626, 7752]]","Em Dia Internacional dos Museus, exigimos que o Governo assuma que o seu programa para os museus está mesmo no caixote do lixo",Policy
5cf46474896a7fea06ffb98d,D,47.0,"[[5385, 5451]]",é preciso também que os cidadãos se envolvam em muito maior escala,Policy
5cf46324896a7fea06ffac81,C,12.0,"[[4948, 4986]]",um Portugal velho que devemos conhecer,Policy
5d04bbb3896a7fea06a062d6,D,9.0,"[[3434, 3622]]",Em questões estratégicas – e a negociação dos direitos televisivos é indubitavelmente uma questão estratégica – os clubes devem cooperar para o crescimento qualitativo do futebol português,Policy
5cf45bdd896a7fea06ff2bf8,A,22.0,"[[2115, 2172]]",Temos que trazer a biodiversidade para dentro das cidades,Policy
5cf46528896a7fea06ffbf18,C,18.0,"[[5020, 5070]]",a normalização também não pode ser demasiado lenta,Policy
5cf45adb896a7fea06ff24e3,A,34.0,"[[5298, 5319]]",limitar os monopólios,Policy
5cf461c8896a7fea06ff8c4d,C,21.0,"[[6985, 7012]]",É preciso repor a confiança,Policy
5d04c4a1896a7fea06a0f926,B,25.0,"[[3058, 3148]]",Chegou pois o tempo de impor um formalismo-qualitativo em detrimento de um formalismo cego,Policy
5cf47d45896a7fea06010e4e,A,21.0,"[[4751, 4813]]","A aposta de todos deve ser, por isso, a pedagogia e a formação",Policy
5cf45f4e896a7fea06ff684a,D,13.0,"[[2969, 2996]]",devemos ser mais ambiciosos,Policy
5cf45ad9896a7fea06ff24d6,C,12.0,"[[5261, 5330]]",precisamos de mudar de paradigma na forma como encaramos esta questão,Policy
5cf46c00896a7fea06002671,D,29.0,"[[4082, 4150]]","Se em 2021 queremos manter o homem na Terra, é preciso começar ontem",Policy
5cf47267896a7fea06008786,D,8.0,"[[5918, 5963]]",maior transparência da atuação dos operadores,Policy
5cf45bc3896a7fea06ff2b2d,B,34.0,"[[3875, 4045]]","Exige-se que não exista incompatibilidade, antes exista coincidência, entre a defesa dos interesses colectivos do grupo ou profissão e os interesses reguladores do Estado",Policy
